"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDPERTEACHER","PRY","RT","A","2016",15.168,
"AUS","STUDPERTEACHER","PRY","RT","A","2017",15.124,
"AUS","STUDPERTEACHER","PRY","RT","A","2018",14.926,
"AUT","STUDPERTEACHER","PRY","RT","A","2016",11.628,
"AUT","STUDPERTEACHER","PRY","RT","A","2017",11.267,
"AUT","STUDPERTEACHER","PRY","RT","A","2018",11.55,
"BEL","STUDPERTEACHER","PRY","RT","A","2016",12.832,
"BEL","STUDPERTEACHER","PRY","RT","A","2017",12.895,
"BEL","STUDPERTEACHER","PRY","RT","A","2018",12.815,
"CAN","STUDPERTEACHER","PRY","RT","A","2016",16.855,
"CAN","STUDPERTEACHER","PRY","RT","A","2017",16.225,
"CAN","STUDPERTEACHER","PRY","RT","A","2018",16.691,
"CZE","STUDPERTEACHER","PRY","RT","A","2016",19.149,
"CZE","STUDPERTEACHER","PRY","RT","A","2017",19.138,
"CZE","STUDPERTEACHER","PRY","RT","A","2018",19.198,
"DNK","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"DNK","STUDPERTEACHER","PRY","RT","A","2018",11.91,
"FIN","STUDPERTEACHER","PRY","RT","A","2016",13.322,
"FIN","STUDPERTEACHER","PRY","RT","A","2017",13.667,
"FIN","STUDPERTEACHER","PRY","RT","A","2018",13.585,
"FRA","STUDPERTEACHER","PRY","RT","A","2016",19.66,
"FRA","STUDPERTEACHER","PRY","RT","A","2017",19.457,
"FRA","STUDPERTEACHER","PRY","RT","A","2018",19.154,
"DEU","STUDPERTEACHER","PRY","RT","A","2016",15.322,
"DEU","STUDPERTEACHER","PRY","RT","A","2017",15.396,
"DEU","STUDPERTEACHER","PRY","RT","A","2018",15.265,
"GRC","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2017",,"M"
"GRC","STUDPERTEACHER","PRY","RT","A","2018",9.219,
"HUN","STUDPERTEACHER","PRY","RT","A","2016",11.015,
"HUN","STUDPERTEACHER","PRY","RT","A","2017",10.8,
"HUN","STUDPERTEACHER","PRY","RT","A","2018",10.176,
"ISL","STUDPERTEACHER","PRY","RT","A","2016",10.845,
"ISL","STUDPERTEACHER","PRY","RT","A","2017",11.068,
"ISL","STUDPERTEACHER","PRY","RT","A","2018",11.016,
"IRL","STUDPERTEACHER","PRY","RT","A","2016",,"M"
"IRL","STUDPERTEACHER","PRY","RT","A","2017",15.653,
"IRL","STUDPERTEACHER","PRY","RT","A","2018",15.254,
"ITA","STUDPERTEACHER","PRY","RT","A","2016",11.434,
"ITA","STUDPERTEACHER","PRY","RT","A","2017",11.653,
"ITA","STUDPERTEACHER","PRY","RT","A","2018",11.527,
"JPN","STUDPERTEACHER","PRY","RT","A","2016",16.635,
